ITEM,LINK,UNIT PRICE,QTY,TOTAL PRICE,RUNNING TOTAL,NOTES
Cherry MX Black Switches,https://neomacro.in/products/cherry-mx-switches,3.51,8,28.08,28.08,pack of 10
Keycap Set,https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/white-grey-keycaps/,10.49,1,10.49,38.57,for keyboard
Blank Keycaps,https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/blank/blank-dsa-keycaps-1u/,1.05,4,4.2,42.77,"for macropad, will re-use hackpad keycaps"
EC11 Encoders,https://www.amazon.in/CentIoT-Encoder-Digital-Potentiometer-Control/dp/B0888RWNM1?crid=243T1VPT812XT&dib=eyJ2IjoiMSJ9.cvB_S8-clwOY-fsh1jDEgdcKAdzY4Nv9KcBVsP_XLVRbEQ6v9pWSfdi6pitVyRPy5_iq-LYSO24WXsw22WOUBHiEFeP9N0__QSmFXXcr_OLQtUAA2f_e3-WLJc0WOyvXtuYeXFVcwnZSIHdgY8HUAiBYdGh2xdjBK8FlsXImh0q4vkDoK-QkVKE3ac8hCBKdF6XJ_k65GqGC4-3qzPH49GIBedFxUU8WMVSal15O1mF876LbmOvkPvdrdTHcJmVf7XgMnL2mbmJ7N0VyJ4bqivJS2Slw9SVVXHW7uuvRr1E.vdIwwapIw50QxzlGlNGifWW_KbD3sPBQ2U9RfnQ-5LE&dib_tag=se&keywords=EC11+encoder&qid=1780688877&s=industrial&sprefix=ec11+enco%2Cindustrial%2C291&sr=1-1,1.8,3,5.4,48.17,already have
Slide Potentiometers,https://www.amazon.in/Electronic-Spices-SC6080GH-Channel-Potentiometer/dp/B0BGY5C2KV?th=1,3,1.68,5.04,53.21,amazon is unfortunately the cheapest and most reliable place >:(
OLED,https://robu.in/product/0-96-inch-i2c-iic-oled-lcd-module-4pin-with-vcc-gnd-blue/,2.14,1,2.14,55.35,already have
1N4148 diodes,https://robu.in/product/1n4148-1w-zener-diode-pack-of-50/,0.013,80,1.04,56.39,
PCB,JLCPCB,82.42,1,82.42,138.81,
Xiao RP2040,https://thinkrobotics.com/products/seeed-studio-xiao-rp2040?variant=47933480173885&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,5.77,3,17.31,156.12,already have 2 
Pico 2,https://robu.in/product/raspberry-pi-pico-2/,5.7,1,5.7,161.82,already have 2 
WS2812B,https://hubtronics.in/ws2812b-2020,0.06,128,7.68,169.5,
TOTAL,,,,0,169.5,